objectid,parentid,title,description,item information,postcard_type,creator,date,subject,location,publisher,publisher location,source,date is approximate,rights,rightsstatement,original_format,type,format,language,latitude,longitude,filename,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
nwpostcards837,nwpostcards836,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_10a.jpg,pg_9_01_10a,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_10a.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_10a_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_10a_th.jpg,,
nwpostcards838,nwpostcards836,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_10a_b.jpg,pg_9_01_10a_b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_10a_b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_10a_b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_10a_b_th.jpg,,
nwpostcards845,,"Main Street, Moscow, Idaho. No. 61.","Postcard of main street Moscow, Idaho.",,photographic postcard,,1920,buildings; automobiles; men; utility poles; trees; photographic postcards,"Moscow, Idaho",Pacific Photo Company,"Salem, OR","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.732215,-117.001656,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_08t_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_08t_th.jpg,,
nwpostcards846,nwpostcards845,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_08t.jpg,pg_9_01_08t,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_08t.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_08t_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_08t_th.jpg,,
nwpostcards847,nwpostcards845,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_08t_b.jpg,pg_9_01_08t_b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_08t_b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_08t_b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_08t_b_th.jpg,,
nwpostcards848,,"View from State University, Moscow, Idaho. No. 59.","Postcard of Moscow, Idaho from the University of Idaho.",,photographic postcard,,1920,buildings; houses; trees; railroads; university towns; towns; utility poles; photographic postcards,"Moscow, Idaho",Pacific Photo Company,"Salem, OR","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.728713,-117.010286,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_08u_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_08u_th.jpg,,
nwpostcards849,nwpostcards848,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_08u.jpg,pg_9_01_08u,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_08u.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_08u_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_08u_th.jpg,,
nwpostcards850,nwpostcards848,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_08u_b.jpg,pg_9_01_08u_b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_08u_b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_08u_b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_08u_b_th.jpg,,
nwpostcards851,,"World War 1 Recruits. Moscow, Idaho","Postcard of World War 1 new recruits marching down the street in Moscow, Idaho.",,photographic postcard,,1920,men; utility poles; flags; flagpoles; bicycles; automobiles; photographic postcards,"Moscow, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.732151,-117.001525,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_08v_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_08v_th.jpg,,
nwpostcards852,nwpostcards851,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_08v.jpg,pg_9_01_08v,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_08v.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_08v_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_08v_th.jpg,,
nwpostcards853,nwpostcards851,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_08v_b.jpg,pg_9_01_08v_b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_08v_b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_08v_b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_08v_b_th.jpg,,
nwpostcards857,,"Moscow Hotel, Moscow, Idaho","Postcard of the Moscow Hotel in Moscow, Idaho.",,photographic postcard,,1920,hotels; buildings; men; utility poles; photographic postcards,"Moscow, Idaho",Cardinell-Vincent Co.,"San Francisco, CA","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.731624,-117.001289,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_08x_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_08x_th.jpg,,
nwpostcards858,nwpostcards857,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_08x.jpg,pg_9_01_08x,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_08x.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_08x_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_08x_th.jpg,,
nwpostcards859,nwpostcards857,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_08x_b.jpg,pg_9_01_08x_b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_08x_b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_08x_b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_08x_b_th.jpg,,
nwpostcards860,,"Main St. Moscow, Idaho","Postcard of Moscow, Idaho.",,photographic postcard,,1920,streets; men; buildings; automobiles; utility poles; trees; mountains; photographic postcards,"Moscow, Idaho",Hodgins Foto,"Moscow, ID","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.729147,-117.00151,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_08y_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_08y_th.jpg,,
nwpostcards861,nwpostcards860,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_08y.jpg,pg_9_01_08y,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_08y.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_08y_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_08y_th.jpg,,
nwpostcards862,nwpostcards860,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_08y_b.jpg,pg_9_01_08y_b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_08y_b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_08y_b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_08y_b_th.jpg,,
nwpostcards863,,"Main St. Juliaetta, Idaho, looking south. 515.","Postcard of Main St. in Juliaetta, Idaho looking South.",,photographic postcard,,1910,streets; men; buildings; trees; Equus caballus (species); mountains; snow; photographic postcards,"Juliaetta, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,image/jpeg,eng,46.579468,-116.705206,pg_9_01_09.jpg,pg_9_01_09,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_09.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_09_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_09_th.jpg,,
nwpostcards866,,"Old town of Murray, Idaho.","Postcard of Murray, Idaho.",,photographic postcard,,1886,buildings; houses; streets; trees; ghost towns; photographic postcards,"Murray, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,47.626131,-115.851765,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_12c_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_12c_th.jpg,,
nwpostcards867,nwpostcards866,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_12c.jpg,pg_9_01_12c,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_12c.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_12c_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_12c_th.jpg,,
nwpostcards868,nwpostcards866,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_12c_b.jpg,pg_9_01_12c_b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_12c_b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_12c_b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_12c_b_th.jpg,,
nwpostcards869,,"Murray, Idaho.","Postcard of Murray, Idaho.",,photographic postcard,,1890,buildings; houses; trees; mountains; photographic postcards,"Murray, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,47.625994,-115.850456,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_12b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_12b_th.jpg,,
nwpostcards870,nwpostcards869,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_12b.jpg,pg_9_01_12b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_12b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_12b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_12b_th.jpg,,
nwpostcards871,nwpostcards869,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_12b_b.jpg,pg_9_01_12b_b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_12b_b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_12b_b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_12b_b_th.jpg,,
nwpostcards873,,"Helmer, Idaho.","Postcard of Helmer, Idaho.","written message; postage applied; Postmark: 7/9/1914, Helmer, ID; Destination: Ilia[?], WA",photographic postcard,,1914,trees; buildings; houses; photographic postcards,"Helmer, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.802747,-116.47025,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_21a_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_21a_th.jpg,,
nwpostcards874,nwpostcards873,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_21a.jpg,pg_9_01_21a,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_21a.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_21a_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_21a_th.jpg,,
nwpostcards875,nwpostcards873,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_21a_b.jpg,pg_9_01_21a_b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_21a_b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_21a_b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_21a_b_th.jpg,,
nwpostcards891,,"St. Maries, Idaho","Postcard of St. Maries, Idaho along the St. Joe river.",,photographic postcard,,1894,rivers; buildings; houses; trees; mountains; photographic postcards,"St. Maries, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,47.316599,-116.559902,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_18b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_18b_th.jpg,,
nwpostcards892,nwpostcards891,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_18b.jpg,pg_9_01_18b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_18b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_18b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_18b_th.jpg,,
nwpostcards893,nwpostcards891,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_18b_b.jpg,pg_9_01_18b_b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_18b_b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_18b_b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_18b_b_th.jpg,,
nwpostcards894,,"Landore, Idaho.","Postcard of Landore, Idaho.",,photographic postcard,,1920,trees; buildings; rivers; photographic postcards,"Landore, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,45.053477,-116.654261,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_20a_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_20a_th.jpg,,
nwpostcards895,nwpostcards894,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_20a.jpg,pg_9_01_20a,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_20a.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_20a_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_20a_th.jpg,,
nwpostcards896,nwpostcards894,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_20a_b.jpg,pg_9_01_20a_b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_20a_b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_20a_b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_20a_b_th.jpg,,
nwpostcards897,,"Cuprum, Idaho.","Postcard of a street scene in Cuprum, Idaho.",,photographic postcard,,1920,men; Equus caballus (species); donkeys; horse-drawn vehicles; buildings; utility poles; women; Canis familiaris (species); photographic postcards,"Cuprum, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,45.08624,-116.690979,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_19a_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_19a_th.jpg,,
nwpostcards898,nwpostcards897,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_19a.jpg,pg_9_01_19a,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_19a.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_19a_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_19a_th.jpg,,
nwpostcards899,nwpostcards897,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_19a_b.jpg,pg_9_01_19a_b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_19a_b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_19a_b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_19a_b_th.jpg,,
nwpostcards939,,"Lapwai, Idaho. Aerial.","Postcard is of Lapwai, Idaho, formerly Fort Lapwai.","written message; postage applied; Postmark: 9/26/[1914?], Lapwai, ID; Destination: Abilene, KS",photographic postcard,,1914,buildings; mountains; trees; towns; streets; photographic postcards,"Lapwai, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.415316,-116.776435,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_30a_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_30a_th.jpg,,
nwpostcards940,nwpostcards939,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_30a.jpg,pg_9_01_30a,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_30a.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_30a_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_30a_th.jpg,,
nwpostcards941,nwpostcards939,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_30a_b.jpg,pg_9_01_30a_b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_30a_b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_30a_b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_30a_b_th.jpg,,
nwpostcards945,,"Lapwai, Idaho.","Postcard is of Lapwai, Idaho, formerly Fort Lapwai.",,photographic postcard,,1920,buildings; mountains; trees; towns; streets; utility poles; photographic postcards,"Lapwai, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.395238,-116.807846,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_30b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_30b_th.jpg,,
nwpostcards946,nwpostcards945,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_30b.jpg,pg_9_01_30b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_30b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_30b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_30b_th.jpg,,
nwpostcards947,nwpostcards945,,,,,,,,,,,,,,,,,image/jpeg,,,,pg_9_01_30b_b.jpg,pg_9_01_30b_b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_01_30b_b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_01_30b_b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_01_30b_b_th.jpg,,
nwpostcards951,,"Public school, Burke, Idaho.","Postcard of a school building no longer standing in Burke, Idaho.",,photographic postcard,Barnard's Studio,1907,schools; buildings; public buildings; trees; mountains; photographic postcards,"Burke, Idaho",Barnard's Studio,"Wallace, ID","PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,image/jpeg,eng,47.51915,-115.821928,pg_9_02_01.jpg,pg_9_02_01,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_02_01.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_02_01_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_02_01_th.jpg,,
nwpostcards955,,"Idaho City, Idaho. What is left of the old Idaho City jail. Community Hall.","Postcard of the old Idaho City jail in Idaho City, Idaho. |  What is left of the old Idaho City jail built in the old territorial days. Note the hewed logs and dovetailed corners. Community Hall, Idaho City.",,photographic postcard,,1920,buildings;  jails (buildings); trees; snow; photographic postcards,"Idaho City, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,image/jpeg,eng,43.826044,-115.832533,pg_9_02_02a.jpg,pg_9_02_02a,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/pg_9_02_02a.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_02_02a_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_02_02a_th.jpg,,
nwpostcards956,,"Lewis and Clark Hotel, Lewiston, Idaho.","Postcard of a hotel in Lewiston, Idaho.",written message,photographic postcard,,1920,hotels (public accommodations); men; women; buildings; automobiles; photographic postcards,"Lewiston, Idaho",,,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5x5.5, black and white postcard",Image;StillImage,multiple,eng,46.418211,-117.014003,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/pg_9_03_09a_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/pg_9_03_09a_th.jpg,,
